Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,2051.546104403409,3.98,3017.1254780987515,70.45,82.58,71,11,1,34.23494911193848,4
2,Inferencing,1738.804776278409,3.46,2561.9482052926132,73.48,83.33,20,6,0,12.3399338722229,4
3,Inferencing,2706.227391098485,5.95,4062.628507175982,59.85,69.7,23,3,0,8.607009887695312,4
4,Inferencing,2636.726592092803,6.37,3816.2235965934588,55.3,65.91,25,1,0,8.095566272735596,4
5,Inferencing,2729.4065163352275,6.75,3362.6402081848178,39.39,60.61,23,1,2,47.76804184913635,4
6,Inferencing,1506.1325165719697,3.80,2146.341680290485,74.24,86.36,20,6,0,10.503078699111938,4
7,Inferencing,1235.7823745265152,3.02,1610.5698032779924,79.55,95.45,26,0,0,7.201031684875488,4
8,Inferencing,2020.501863162879,4.29,3260.139485170045,75.0,79.55,26,0,0,7.2073280811309814,4
9,Inferencing,1942.0582670454544,4.07,2901.747937508667,71.97,83.33,26,0,0,6.797668218612671,4
10,Inferencing,1659.2371259469699,3.45,2079.5486654660817,67.42,84.09,26,0,0,7.403818607330322,4
11,Inferencing,1133.564216382576,2.27,1465.182800446173,85.61,96.21,26,0,0,7.119378328323364,4
12,Inferencing,1123.9662937973487,2.25,1527.488984691069,84.09,93.94,26,0,0,6.956012487411499,4
13,Inferencing,1138.836529356061,2.38,1632.1794198807634,83.33,90.15,26,0,0,7.386562347412109,4
14,Inferencing,1355.8075875946972,2.73,1902.3050691623012,73.48,90.91,26,0,0,7.021295070648193,4
15,Inferencing,974.730286214953,2.03,1357.7780483595786,86.92,94.39,26,0,0,6.99763298034668,4
